filter_mode,confidence_threshold,directional_margin,under_confirm_ceiling,over_confirm_floor,max_discrepancy,bets,coverage,accuracy,roi_185,roi_190,roi_200,profit_190,max_losing_streak,over_bets,under_bets,over_accuracy,under_accuracy,avg_confidence
legacy_discrepancy,0.64,0.05,0.45,0.55,0.18,197,0.027041866849691145,0.5786802030456852,0.07055837563451782,0.09949238578680196,0.15736040609137056,19.599999999999987,6,1,196,0.0,0.5816326530612245,0.6582280523488925
directional_consensus,0.66,0.06,0.44,0.56,,116,0.01592312971859986,0.5775862068965517,0.06853448275862072,0.09741379310344823,0.15517241379310345,11.299999999999995,5,0,116,,0.5775862068965517,0.6828009818358936
hybrid_both,0.64,0.06,0.44,0.56,0.16,116,0.01592312971859986,0.5775862068965517,0.06853448275862073,0.09741379310344823,0.15517241379310345,11.299999999999995,5,0,116,,0.5775862068965517,0.6581653512260172
directional_consensus,0.64,0.06,0.44,0.56,,227,0.031159917638984215,0.5726872246696035,0.05947136563876656,0.08810572687224665,0.14537444933920704,19.99999999999999,8,1,226,1.0,0.5707964601769911,0.6663208529218904
legacy_discrepancy,0.64,0.05,0.45,0.55,0.2,243,0.03335621139327385,0.5720164609053497,0.05823045267489714,0.08683127572016458,0.1440329218106996,21.099999999999994,5,4,239,0.5,0.5732217573221757,0.6605140222586828
hybrid_both,0.64,0.04,0.46,0.54,0.18,189,0.02594371997254633,0.5714285714285714,0.05714285714285717,0.08571428571428567,0.14285714285714285,16.199999999999992,7,1,188,0.0,0.574468085106383,0.6587142108950684
legacy_discrepancy,0.66,0.05,0.45,0.55,0.12,14,0.0019217570350034316,0.5714285714285714,0.0571428571428572,0.08571428571428566,0.14285714285714285,1.1999999999999993,2,0,14,,0.5714285714285714,0.6743477829512683
hybrid_both,0.64,0.05,0.45,0.55,0.16,128,0.01757035003431709,0.5703125,0.05507812500000005,0.08359374999999995,0.140625,10.699999999999994,6,0,128,,0.5703125,0.6582653874496068
directional_consensus,0.7,0.07,0.43,0.57,,16,0.002196293754289636,0.5625,0.04062500000000005,0.06874999999999995,0.125,1.0999999999999992,3,0,16,,0.5625,0.7200503146765259
hybrid_both,0.64,0.05,0.45,0.55,0.18,174,0.023884694577899795,0.5574712643678161,0.031321839080459817,0.05919540229885053,0.11494252873563218,10.299999999999992,7,0,174,,0.5574712643678161,0.6591029083355863
hybrid_both,0.64,0.06,0.44,0.56,0.18,149,0.020452985586822237,0.5570469798657718,0.030536912751677893,0.058389261744966406,0.11409395973154363,8.699999999999994,6,0,149,,0.5570469798657718,0.6598576873914047
hybrid_both,0.64,0.05,0.45,0.55,0.22,239,0.03280713795470144,0.5564853556485355,0.02949790794979082,0.057322175732217526,0.11297071129707113,13.699999999999989,9,1,238,1.0,0.5546218487394958,0.6632662497987548
