filter_mode,confidence_threshold,directional_margin,under_confirm_ceiling,over_confirm_floor,max_discrepancy,bets,coverage,accuracy,roi_185,roi_190,roi_200,profit_190,max_losing_streak,over_bets,under_bets,over_accuracy,under_accuracy,avg_confidence
legacy_discrepancy,0.58,0.05,0.45,0.55,0.2,1568,0.21523678792038436,0.6090561224489796,0.12675382653061226,0.1572066326530612,0.2181122448979592,246.49999999999997,9,87,1481,0.7586206896551724,0.600270087778528,0.6142792346499915
directional_consensus,0.58,0.04,0.46,0.54,,1348,0.18503774879890186,0.6090504451038575,0.12674332344213654,0.15719584569732933,0.21810089020771514,211.89999999999995,8,16,1332,0.6875,0.6081081081081081,0.6232619221709983
directional_consensus,0.62,0.07,0.43,0.57,,312,0.04282772820864791,0.6089743589743589,0.12660256410256415,0.157051282051282,0.21794871794871795,48.999999999999986,4,2,310,0.5,0.6096774193548387,0.6481090494632884
hybrid_both,0.58,0.06,0.44,0.56,0.22,779,0.10693205216197667,0.6084724005134788,0.12567394094993584,0.1560975609756097,0.21694480102695765,121.59999999999997,7,7,772,0.7142857142857143,0.6075129533678757,0.6248449845017247
legacy_discrepancy,0.56,0.05,0.45,0.55,0.26,2743,0.3765271105010295,0.6084578928180824,0.12564710171345245,0.1560699963543565,0.2169157856361648,428.0999999999999,10,367,2376,0.6866485013623979,0.5963804713804713,0.6024317895549727
hybrid_both,0.58,0.05,0.45,0.55,0.18,943,0.12944406314344545,0.6076352067868505,0.12412513255567341,0.1545068928950159,0.21527041357370094,145.7,7,9,934,0.7777777777777778,0.6059957173447538,0.6187347049483138
directional_consensus,0.54,0.06,0.44,0.56,,861,0.11818805765271105,0.6074332171893148,0.12375145180023234,0.15412311265969797,0.2148664343786295,132.69999999999996,6,9,852,0.6666666666666666,0.6068075117370892,0.6239383676607948
directional_consensus,0.56,0.06,0.44,0.56,,861,0.11818805765271105,0.6074332171893148,0.12375145180023234,0.15412311265969797,0.2148664343786295,132.69999999999996,6,9,852,0.6666666666666666,0.6068075117370892,0.6239383676607948
directional_consensus,0.64,0.04,0.46,0.54,,336,0.04612216884008236,0.6071428571428571,0.12321428571428575,0.15357142857142853,0.21428571428571427,51.59999999999999,6,2,334,0.5,0.6077844311377245,0.6654590045405226
directional_consensus,0.54,0.03,0.47,0.53,,2073,0.284557309540151,0.6058851905451037,0.12088760250844191,0.15118186203569706,0.21177038109020743,313.4,7,41,2032,0.6341463414634146,0.6053149606299213,0.6064243555924644
directional_consensus,0.56,0.03,0.47,0.53,,1893,0.2598490048043926,0.6053882725832013,0.11996830427892236,0.1502377179080824,0.21077654516640254,284.4,7,34,1859,0.6470588235294118,0.6046261430876816,0.61159197607576
hybrid_both,0.6,0.05,0.45,0.55,0.22,790,0.10844200411805079,0.6050632911392405,0.11936708860759496,0.14962025316455696,0.21012658227848102,118.19999999999999,7,5,785,0.6,0.6050955414012739,0.6325318715933009
directional_consensus,0.6,0.07,0.43,0.57,,450,0.06177076183939602,0.6044444444444445,0.11822222222222226,0.1484444444444444,0.2088888888888889,66.79999999999998,5,3,447,0.6666666666666666,0.6040268456375839,0.6367151024712605
directional_consensus,0.58,0.07,0.43,0.57,,528,0.07247769389155799,0.6041666666666666,0.11770833333333337,0.14791666666666664,0.20833333333333334,78.09999999999998,6,4,524,0.75,0.6030534351145038,0.630044072461278
legacy_discrepancy,0.56,0.05,0.45,0.55,0.18,2133,0.29279341111873713,0.6038443506797937,0.1171120487576184,0.14730426629160803,0.20768870135958745,314.19999999999993,8,164,1969,0.6890243902439024,0.5967496190959878,0.5986739208139974
legacy_discrepancy,0.56,0.05,0.45,0.55,0.22,2481,0.3405628002745367,0.60378879484079,0.11700927045546153,0.14719871019750094,0.20757758968158002,365.1999999999998,8,258,2223,0.689922480620155,0.5937921727395412,0.6009764266212866
directional_consensus,0.54,0.07,0.43,0.57,,537,0.07371310912834592,0.6033519553072626,0.11620111731843578,0.14636871508379887,0.20670391061452514,78.6,6,4,533,0.75,0.6022514071294559,0.6291640917619405
directional_consensus,0.56,0.07,0.43,0.57,,537,0.07371310912834592,0.6033519553072626,0.11620111731843578,0.14636871508379887,0.20670391061452514,78.6,6,4,533,0.75,0.6022514071294559,0.6291640917619405
